article_id,link,article_content,news_source
1,https://www.cnn.com/2022/02/22/politics/omicron-covid-pandemic-disruptions/index.html,"",CNN
2,https://www.cnn.com/2022/02/14/health/virtual-health-funds-community-health-centers/index.html,"",CNN
3,https://www.cnn.com/2022/02/10/politics/cnn-poll-biden-approval/index.html,,CNN
4,https://www.cnn.com/travel/article/cdc-very-high-risk-travel-destinations-february-14/index.html,,CNN
5,https://www.cnn.com/2022/02/08/health/croup-omicron-variant/index.html,,CNN
6,https://www.cnn.com/2022/02/14/politics/california-shasta-county-recall/index.html,,CNN
7,https://www.cnn.com/2022/02/11/health/covid-vaccine-kids-postpone-explainer/index.html,,CNN
8,https://www.cnn.com/2022/02/09/health/school-mask-mandates-removal-wellness/index.html,,CNN
9,https://www.cnn.com/2022/02/14/entertainment/celebs-no-mask-super-bowl/index.html,,CNN
10,https://www.cnn.com/2022/02/14/politics/virginia-school-mask-mandates-glenn-youngkin/index.html,,CNN
11,https://www.cnn.com/2022/02/24/health/covid-deaths-now-younger-unvaccinated/index.html,,CNN
12,https://www.cnn.com/2022/03/03/health/surgeon-general-misinformation/index.html,,CNN
13,https://www.cnn.com/2022/03/02/politics/new-covid-plan-white-house/index.html,,CNN
14,https://www.cnn.com/2022/03/04/health/teen-covid-19-vaccine-holdout-khn-partner-wellness/index.html,"",CNN
15,https://www.cnn.com/2022/03/03/politics/tim-kaine-long-covid/index.html,"",CNN
16,https://www.cnn.com/2022/03/03/health/mask-mandate-lift-guidelines-wellness/index.html,,CNN
17,https://www.cnn.com/2022/03/01/health/140-million-covid-19-infections/index.html,,CNN
18,https://www.cnn.com/2022/03/02/health/children-parents-cdc-mask-guidelines-wellness/index.html,,CNN
19,https://www.cnn.com/2022/03/01/health/mask-guidance-america-divided-kff/index.html,,CNN
20,https://www.cnn.com/2022/03/01/health/vaccine-effectiveness-kids-omicron/index.html,,CNN
21,https://www.cnn.com/2022/03/01/health/covid-testing-demand-decline/index.html,,CNN
22,https://www.cnn.com/2022/02/28/health/mask-mandates-lifted/index.html,,CNN
23,https://www.cnn.com/2022/02/28/health/pfizer-vaccine-effectiveness-kids-omicron/index.html,,CNN
24,https://www.cnn.com/2022/02/27/health/fda-evusheld-double-initial-dose/index.html,,CNN
25,https://www.cnn.com/2022/02/25/health/cdc-covid-metrics-mask-guidance/index.html,,CNN
26,https://www.cnn.com/2022/02/25/health/mask-vaccine-mandates-analysis-frieden/index.html,,CNN
27,https://www.cnn.com/2022/02/23/health/covid-ba2-omicron-studies-explainer/index.html,,CNN
28,https://www.cnn.com/2022/02/24/health/covid-deaths-now-younger-unvaccinated/index.html,,CNN
29,https://www.cnn.com/2022/02/23/health/maternal-deaths-increase-us-report/index.html,,CNN
30,https://www.cnn.com/2022/02/22/health/covid-cardiovascular-complications/index.html,,CNN
31,https://www.cnn.com/2022/02/16/health/hybrid-immunity-studies/index.html,,CNN
32,https://www.cnn.com/2022/02/16/health/covid-masks-for-kids-white-house-plans/index.html,,CNN
33,https://www.cnn.com/2022/02/16/health/private-health-departments/index.html,,CNN
34,https://www.cnn.com/2022/02/16/health/drug-overdose-deaths-record-high/index.html,,CNN
35,https://www.cnn.com/2022/02/15/health/covid-19-cases-dropping/index.html,,CNN
36,https://www.cnn.com/2022/02/15/health/covid-19-booster-dose-slow-uptake-us/index.html,,
